"location","variable","Unit","Date","Value"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1965","34.8544619239516"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1966","38.234525050533"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1967","40.5511444015608"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1968","43.0053365766868"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1969","44.7769144880143"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1970","48.8538907135887"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1971","51.3014929409653"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1972","53.6464739192661"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1973","57.352887801375"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1974","60.9833991216698"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1975","61.9973769899298"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1976","64.1746421443606"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1977","67.357136816933"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1978","69.02754662857"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1979","71.750464540598"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1980","72.2348688644049"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1981","72.8346043259667"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1982","72.7897401078691"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1983","72.9430874556878"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1984","76.1283011161403"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1985","76.7114922028799"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1986","79.3066921516273"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1987","81.4258033878755"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1988","85.2135326233261"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1989","89.3252006417295"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1990","90.8990893163742"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1991","90.3187619066342"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1992","91.2346522284307"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1993","93.8344578775092"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1994","97.5780002856769"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1995","100.166344743209"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1996","102.692648949125"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1997","105.286839420592"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1998","107.742463254617"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","1999","112.45610108112"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2000","112.941151348598"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2001","113.980322618367"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2002","115.672516184892"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2003","117.415650765178"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2004","121.313816767335"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2005","120.846551604229"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2006","128.149835351206"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2007","129.783009427354"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2008","131.922990989129"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2009","130.808310505961"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2010","131.307123724893"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2011","136.048194523194"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2012","134.391584536745"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2013","135.401070870471"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2014","137.351382067981"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2015","139.414031278112"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2016","140.507596153351"
"Australia","Primary energy Consumption, Million tonnes oil equivalent","Million tonnes oil equivalent","2017","140.225140270306"
