"energy-commodities","sectors","indicator","Unit","Date","Value"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1990","13.6"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1991","14.9"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1992","14.9"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1993","15.3"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1994","19.6"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1995","16"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1996","16.8"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1997","15.4"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1998","16"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","1999","13.8"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2000","12.5"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2001","13.2"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2002","13.1"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2003","13.2"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2004","14"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2005","13.6"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2006","13"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2007","13.7"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2008","14.6"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2009","12.1"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2010","13.5"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2011","14.9"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2012","12.7"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2013","12.3"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2014","14"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2015","15.5"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2016","14.5"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2017","12"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2018","10.5"
"Total energy commodities","Manufacture of coke oven products","Total energy consumption","PJ","2019","12"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1990","536.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1991","554.7"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1992","565.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1993","581.5"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1994","585.1"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1995","581.7"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1996","589.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1997","574.6"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1998","596.5"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","1999","554.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2000","573.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2001","614"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2002","607.2"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2003","620.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2004","633.5"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2005","620.4"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2006","591"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2007","615"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2008","588.7"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2009","607.8"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2010","616.7"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2011","586.9"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2012","566.7"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2013","543.9"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2014","580.8"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2015","612"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2016","596.3"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2017","564.5"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2018","524.1"
"Total energy commodities","Total energy sector","Total energy consumption","PJ","2019","535.6"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1990","24.5"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1991","27.6"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1992","30.7"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1993","28"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1994","25.2"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1995","24.4"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1996","29.7"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1997","31.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1998","37.5"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","1999","33.2"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2000","33.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2001","32.8"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2002","35.1"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2003","32.7"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2004","33.7"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2005","33.4"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2006","29.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2007","25.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2008","27.3"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2009","30"
"Total energy commodities","Extraction of crude petroleum and gas","Total energy consumption","PJ","2010","33.1"
